RUC;RAZON_SOCIAL;TERCEROS;COD_CIIU;ZONA;PAIS;SEGMENTO;RUBRO
9222955;TUNING RACING E.I.R.L.;INTELIBPO;3181;LA LIBERTAD;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA MANTENIMIENTO Y REPARACI?N DE MOTOCICLETAS Y DE SUS PARTES PIEZAS Y ACCESORIOS
6187109;CARGO PLUS DEL NORTE SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;INTELIBPO;3319;PIURA;PERU;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA
7760076;ITALUSA IMPOR E.I.R.L.;INTELIBPO;2424;LIMA;PERU;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA
6781106;CUTISACA HURTADO NERY;INTELIBPO;3937;CUSCO;PERU;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO M?VIL DE COMIDAS
6104903;BOCANEGRA LISBOA CESAR ARTURO MARCIO;INTELIBPO;7444;LAMBAYEQUE;PERU;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO M?VIL DE COMIDAS
5487486;CONSTRUCTORA PERU ORIENTE SUR SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;INTELIBPO;9442;MADRE DE DIOS;PERU;CONSTRUCCI?N;CONSTRUCCI?N DE EDIFICIOS
6719814;GRAN HOTEL PIMENTEL EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;INTELIBPO;7952;LAMBAYEQUE;PERU;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS
6546529;RODRIGUEZ BENITES REYMUNDA MERCEDES;INTELIBPO;6089;LA LIBERTAD;PERU;ENSE?ANZA;ENSE?ANZA SECUNDARIA DE FORMACI?N GENERAL
6352315;SOLUCIONES MAXILOFACIALES E.I.R.L.;INTELIBPO;7517;LIMA;PERU;ACTIVIDADES DE ATENCI?N DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS
8316407;CAPITALES SAN MARTIN S.A.C.;INTELIBPO;7461;SAN MARTIN;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE EQUIPO PARTES Y PIEZAS ELECTR?NICOS Y DE TELECOMUNICACIONES
