RUC;RAZON SOCIAL;NAME_SOUND;sadsad
8687674;ENE Y ESE METAL MECANICA Y SERVICIOS GENERALES;ENE_Y_ESE_METAL_MECANICA_Y_SERVICIOS_GENERALES;46
6535377;INTEGRACION DE SERVICIOS EN TELECOMUNICACIONES;INTEGRACION_DE_SERVICIOS_EN_TELECOMUNICACIONES;46
2830960;ASOCIACION COMUNAL DEL CASERIO DE HIGROMPAMPA;COMUNAL_DEL_CASERIO_DE_HIGROMPAMPA;45
2102345;ESE EM CE MOUNTAIN EL TI DI SUKURSAL DEL PERU;SMC_MOUNTAIN_LTDSUCURSAL_DEL_PERU;45
5400363;GRUPO INTEGRAL EN TELECOMUNICACIONES DEL PERU;TELECOMUNICACIONES_DEL_PERU;45
1026332;INGENIERIA ELECTROMECANICA SANITARIA REDENTOR;INGENIERIA_ELECTROMECANICA_Y_SANITARIA_-_EL_REDENTOR;45
1035071;INGENIERÍA, EVALUACIÓN Y GESTIÓN DE PROYECTOS;INGENIERIA,_EVALUACION_Y_GESTIÓN_DE_PROYECTOS;45
1198396;MUNICIPALIDAD CP VICTOR RAUL HAYA DE LA TORRE;MUNICIPALIDAD_DEL_CENTRO_POBLADO_VICTOR_RAUL_HAYA_DE_LA_TORRE;45
1342794;MUNICIPALIDAD DE SANTO DOMINGO DE LOS OLLEROS;MUNICIPALIDAD_DE_SANTO_DOMINGO_DE_LOS_OLLEROS;45
9041378;PPS JOSE LUIS BUSTAMANTE Y RIVERO - PPS JLBYR;JOSE_LUIS_BUSTAMANTE_Y_RIVERO;45
1118746;PREVENCION VIGILANCIA Y SEGURIDAD DEL ORIENTE;PREVENCION_VIGILANCIA_Y_SEGURIDAD_DEL_ORIENTE;45
9298254;SERVICIOS GENERALES FRIO Y ALMACENAMIENTO JAH;SERVICIOS_GENERALES_FRIO_Y_ALMACENAMIENTO;45
2760341;ALVARCOR ARQUITECTURA CONSTRUCCION Y MINERIA;ALVARCOR_ARKITEKTURA_KONSTRUKSION_I_MINERIA;44
1289159;CORPORACION H.P. CONSTRUCTORA E INMOBILIARIA;KORPORASION_HP_KONSTRUKTORA_E_INMOBILIARIA;44
3130042;CORPORACION MINERA SAGRADO MADERO DE CHALPON;CORPORACION_MINERA_SAGRADO_MADERO_DE_CHALPON;44
4120608;INMOBILIARIA CONSTRUCTORA LUCES DEL CASTILLO;INMOBILIARIA_CONSTRUCTORA_LUCES_DEL_CASTILLO;44
7863499;INSTITUCION EDUCATIVA BERNARDO BOULAY TURNER;INSTITUSION_EDUKATIVA_PRIVADA_BERNARDO_BULAI_TURNER;44
3336518;INSTITUSION EDUKATIVA KRISTIANA WILIAM KAREI;INSTITUCION_EDUCATIVA_CRISTIANA_WILLIAM_CAREY_SRL;44
4087497;QUINZU METAL MECÁNICA IMPORTADORA INDUSTRIAL;QUINZU_METAL_MECANICA_IMPORTADORA_INDUSTRIAL;44
9616336;SERVISIOS KONTABLES I EMPRESARIALES DEL PERU;SERVICIOS_CONTABLES_Y_EMPRESARIALES_DEL_PERU_EIRL;44
3454772;TRANSPORTES Y SERVICIOS MULTIPLES CALIFORNIA;TRANSPORTES_Y_SERVICIOS_CALIFORNIA;44
8991906;ADMINISTRADORA DE NEGOCIOS AGROINDUSTRIALES;ADMINISTRADORA_DE_NEGOCIOS_AGROINDUSTRIALES_ESE_A_CEE;43
7971586;CONSTRUCCION MINERIA Y TRANSPORTES YANAWARA;CONSTRUCCION_MINERIA_Y_TRANSPORTES_YANAWARA;43
7680481;DIRECCION REGIONAL DE EDUCACION DE MOQUEGUA;DIRECCION_REGIONAL_DE_EDUCACION_DE_MOQUEGUA;43
9024055;DIRECCION REGIONAL DE EDUCACION DE MOQUEGUA;DIRECCION_REGIONAL_DE_EDUCACION_DE_MOQUEGUA;43
2969653;EDUCATIVOS HANS CHRISTIAN ANDERSEN DE BREÑA;EDUCATIVOS_HANS_CHRISTIAN_ANDERSEN_DE_BREÑA;43
